frame = 0
-2.2675e-02 + i 1.1029e-01
-4.8649e-02 + i 6.4424e-03
-6.5520e-02 + i -1.6035e-02
1.2155e-02 + i -4.7958e-02
-4.1179e-03 + i 1.7728e-02
-7.1582e-02 + i -7.5707e-03
1.3090e-02 + i -8.7142e-02
3.7064e-02 + i -1.5514e-02
5.8750e-03 + i 4.9487e-02
-1.1506e-01 + i -3.8329e-02
-1.0901e-02 + i -1.6576e-01
1.6813e-01 + i -3.9117e-02
2.9951e-02 + i 9.5943e-02
-3.8650e-03 + i 2.4613e-02
-7.3409e-02 + i -1.2829e-01
1.3821e-01 + i -1.0191e-02
-1.6084e-02 + i 6.2638e-02
4.9934e-02 + i 3.4988e-02
-3.3566e-02 + i -3.9563e-02
3.0594e-02 + i 1.8352e-02
5.7607e-02 + i -2.4495e-02
9.9735e-03 + i -8.3805e-03
-6.9031e-02 + i -2.4285e-02
4.9448e-02 + i 5.6027e-02
3.2381e-04 + i 2.5802e-02
frame = 4
-1.9097e-02 + i 0.0000e+00
4.0172e-02 + i 1.4783e-02
-1.2500e-01 + i 2.7485e-02
4.5785e-03 + i -8.1147e-02
1.2263e-01 + i -6.1215e-02
1.9472e-02 + i 1.5701e-01
-1.2263e-01 + i 1.8446e-03
-1.2894e-02 + i -3.7811e-02
7.9409e-02 + i -7.6098e-02
5.5384e-02 + i 1.7485e-01
-3.5191e-01 + i -1.5316e-01
2.7579e-01 + i -1.1098e-01
7.3690e-02 + i 1.8233e-02
4.1066e-02 + i 2.7543e-01
-4.5064e-01 + i -3.1948e-01
6.2286e-01 + i -1.4359e-01
-8.8508e-02 + i 3.6934e-01
-9.4488e-02 + i 8.3266e-02
-1.9293e-01 + i -1.1497e-01
1.9089e-01 + i -5.2643e-02
-1.3117e-01 + i 7.5867e-02
3.2853e-03 + i -8.3384e-02
9.5496e-02 + i -6.5924e-02
-3.3621e-03 + i 2.1679e-01
-2.0991e-01 + i -1.4532e-01
2.3988e-01 + i -1.9958e-02
-1.8390e-01 + i -4.0602e-02
2.3896e-01 + i 3.3037e-02
-2.0369e-01 + i 9.0740e-02
6.8385e-02 + i -1.5419e-01
3.6041e-02 + i 6.2381e-02
-3.9488e-03 + i 7.5750e-02
-7.4251e-02 + i -1.1070e-01
1.1114e-01 + i 5.1678e-02
-6.1093e-02 + i 4.9595e-02
-1.5834e-02 + i -1.4471e-02
-4.2665e-02 + i -8.1299e-02
9.9031e-02 + i 4.5853e-02
-1.0057e-01 + i 8.7770e-03
5.1246e-02 + i -1.2131e-01
1.5743e-01 + i 1.0610e-01
-1.3716e-01 + i 1.5338e-01
-1.4441e-01 + i -1.8832e-01
1.8287e-01 + i -2.0418e-02
2.8502e-03 + i 1.5842e-01
-1.0377e-01 + i -8.8895e-02
4.0638e-03 + i -3.1523e-02
6.8140e-02 + i -1.3631e-02
4.0492e-02 + i 4.1558e-02
-4.3013e-02 + i 4.3922e-02
-1.5874e-02 + i -4.4313e-02
6.2961e-02 + i 2.9452e-04
-2.8051e-02 + i 7.2164e-02
-3.6226e-02 + i -4.7789e-02
3.0964e-02 + i -7.2227e-03
9.1423e-03 + i 1.8195e-02
-2.6018e-02 + i 5.4730e-03
5.5528e-04 + i -5.3872e-03
2.4673e-02 + i -3.9197e-03
6.2871e-03 + i 1.1939e-02
-1.2049e-02 + i 2.0642e-03
7.2755e-03 + i -4.8054e-03
3.2744e-03 + i 5.4779e-03
-6.2393e-04 + i -1.2096e-04
5.5773e-03 + i -6.8828e-09
-6.2393e-04 + i 1.2102e-04
3.2744e-03 + i -5.4779e-03
7.2756e-03 + i 4.8054e-03
-1.2050e-02 + i -2.0639e-03
6.2868e-03 + i -1.1939e-02
2.4673e-02 + i 3.9194e-03
5.5551e-04 + i 5.3873e-03
-2.6018e-02 + i -5.4726e-03
9.1420e-03 + i -1.8195e-02
3.0964e-02 + i 7.2222e-03
-3.6225e-02 + i 4.7790e-02
-2.8052e-02 + i -7.2163e-02
6.2961e-02 + i -2.9547e-04
-1.5873e-02 + i 4.4314e-02
-4.3014e-02 + i -4.3922e-02
4.0491e-02 + i -4.1559e-02
6.8141e-02 + i 1.3630e-02
4.0647e-03 + i 3.1523e-02
-1.0377e-01 + i 8.8897e-02
2.8478e-03 + i -1.5842e-01
1.8287e-01 + i 2.0415e-02
-1.4441e-01 + i 1.8832e-01
-1.3716e-01 + i -1.5338e-01
1.5742e-01 + i -1.0610e-01
5.1247e-02 + i 1.2131e-01
-1.0057e-01 + i -8.7756e-03
9.9030e-02 + i -4.5854e-02
-4.2663e-02 + i 8.1300e-02
-1.5834e-02 + i 1.4472e-02
-6.1094e-02 + i -4.9594e-02
1.1114e-01 + i -5.1680e-02
-7.4249e-02 + i 1.1070e-01
-3.9500e-03 + i -7.5750e-02
3.6040e-02 + i -6.2382e-02
6.8387e-02 + i 1.5419e-01
-2.0369e-01 + i -9.0737e-02
2.3896e-01 + i -3.3040e-02
-1.8390e-01 + i 4.0604e-02
2.3988e-01 + i 1.9955e-02
-2.0991e-01 + i 1.4532e-01
-3.3652e-03 + i -2.1679e-01
9.5497e-02 + i 6.5922e-02
3.2868e-03 + i 8.3384e-02
-1.3117e-01 + i -7.5865e-02
1.9089e-01 + i 5.2640e-02
-1.9293e-01 + i 1.1497e-01
-9.4490e-02 + i -8.3264e-02
-8.8514e-02 + i -3.6934e-01
6.2286e-01 + i 1.4359e-01
-4.5063e-01 + i 3.1948e-01
4.1062e-02 + i -2.7543e-01
7.3689e-02 + i -1.8235e-02
2.7579e-01 + i 1.1098e-01
-3.5190e-01 + i 1.5316e-01
5.5381e-02 + i -1.7485e-01
7.9410e-02 + i 7.6096e-02
-1.2893e-02 + i 3.7812e-02
-1.2263e-01 + i -1.8426e-03
1.9470e-02 + i -1.5701e-01
1.2263e-01 + i 6.1213e-02
4.5802e-03 + i 8.1148e-02
-1.2500e-01 + i -2.7483e-02
4.0171e-02 + i -1.4784e-02
frame = 5
-2.6401e-03 + i 0.0000e+00
-3.1718e-02 + i -3.4760e-03
1.5422e-01 + i 7.6066e-02
-2.9044e-01 + i -3.1278e-03
2.2443e-01 + i -1.0364e-01
-2.4971e-01 + i 2.0935e-03
3.0142e-01 + i -6.6477e-02
-1.3325e-01 + i 1.9867e-01
-3.3428e-02 + i -5.3408e-02
-2.8045e-01 + i -2.2688e-01
4.5069e-01 + i 1.8441e-01
-2.2107e-01 + i -3.6725e-01
4.5747e-01 + i 2.5650e-01
-4.5435e-01 + i 5.8807e-02
1.2058e-01 + i 4.2678e-01
-1.2602e-01 + i -1.1135e+00
4.5365e-01 + i 8.0211e-01
-3.6250e-01 + i -1.9492e-01
2.7740e-01 + i 2.2053e-01
-2.2630e-01 + i -1.1080e-01
-1.0419e-01 + i -6.1293e-02
2.7399e-01 + i -1.0440e-02
-1.8676e-01 + i 1.3046e-01
1.6950e-01 + i 1.1446e-01
-3.3532e-01 + i -2.4400e-01
1.3268e-01 + i 1.4026e-01
-3.0270e-02 + i 3.3563e-02
8.9425e-02 + i -2.9212e-01
-1.0127e-01 + i 1.1360e-01
2.0399e-01 + i 1.0300e-01
-1.8807e-01 + i -4.2847e-02
9.4091e-02 + i -1.6129e-03
-9.0925e-03 + i -1.0991e-01
-3.6861e-02 + i 1.6685e-01
4.3112e-02 + i -8.8181e-02
-7.9980e-02 + i 7.5904e-02
1.2581e-02 + i -2.0745e-01
6.2487e-02 + i 1.2475e-01
4.8928e-02 + i 7.4449e-02
-1.6189e-01 + i -1.8382e-01
2.6304e-01 + i 2.4716e-01
-2.7700e-01 + i -2.3325e-01
1.9742e-01 + i 2.8270e-01
-1.4640e-01 + i -2.7022e-01
1.9394e-02 + i 1.6881e-01
1.0707e-01 + i -1.6395e-01
-4.7961e-02 + i 1.9527e-01
-8.9286e-02 + i -1.8580e-01
1.3203e-01 + i 7.0920e-02
-6.5492e-02 + i -4.0352e-02
2.5274e-02 + i 5.8027e-02
2.3884e-02 + i -7.8515e-02
-5.3915e-02 + i 1.0333e-01
5.0763e-02 + i -8.6181e-02
-2.5936e-02 + i 3.9570e-02
2.7141e-02 + i -1.1341e-02
-3.3457e-02 + i 2.6986e-03
3.7018e-02 + i -4.2354e-03
-3.4830e-02 + i 1.4556e-02
2.4649e-02 + i -1.5513e-02
-1.4300e-02 + i 7.8902e-03
7.5806e-03 + i 5.0570e-04
-7.5695e-05 + i -5.8356e-03
1.8689e-03 + i 5.6550e-03
-6.5515e-04 + i 1.4782e-08
1.8688e-03 + i -5.6551e-03
-7.5637e-05 + i 5.8355e-03
7.5807e-03 + i -5.0576e-04
-1.4300e-02 + i -7.8901e-03
2.4649e-02 + i 1.5512e-02
-3.4831e-02 + i -1.4556e-02
3.7018e-02 + i 4.2349e-03
-3.3457e-02 + i -2.6983e-03
2.7141e-02 + i 1.1340e-02
